01_prenom;02_genre;03_langage;04_fréquence;05_signification
anani;m;biblical;0;"signifie ""mon nuage"" en Hébreu."
ananias;m;biblical;0;de ' (Hananias), le
ananta;m;indian;0;Infini.
ananth;m;indian;0;Transcription moderne d'ANANTA.
anantha;m;indian;0;
anargyros;m;greek;0.16;"Du terme grec (anargyros) signification ""pauvre(faible), incorruptible"", tiré de grec, un préfixe négatif, combiné avec ""argent"" (argyros)."
anaru;m;maori;0;Forme maorie d'ANDREW.
anas;m;arabic;0.06;ami, proche.
anass;m;arabic;0;Sociable, sympathique (arabe).
anastacia;f;english;0;
anastas;m;spanish;0;Forme russe et bulgare d'Anastase.
anastasia;f;russian, greek, ancient greek;0.76;Résurrection (grec).
anastasie;f;french;0.22;Résurrection (grec).
anastasio;m;italian;0;Forme italienne d'ANASTASIUS.
anastasios;m;greek, ancient greek;0;Originale forme grecque d'Anastase.
anastasius;m;ancient greek (latinized);0;"La forme Latinisée du nom grec (Anastasios) qui a signifié ""la résurrection"" de grec (anastasis) (composé des éléments (Ana) ""en haut"" et (la stase) ""étant debout"")."
anat;f;near eastern mythology;0.03;
anath;m, f;biblical, near eastern mythology;0;"signifie ""répondent"" en l'Hébreu."
anatole;m;french;5.22;Aube, soleil levant (grec).
anatoli;m;russian;0;La transcription Variante du Anatoliy.
anatolius;m;ancient greek (latinized);0;"Du grec (Anatolios), tiré (d'Anatole) signifiant ""lever du soleil""."
anatoly;m;russian;0;La transcription Variante du Anatoliy.
anatu;f;near eastern mythology;0;
anaxagoras;m;ancient greek;0;"signifie ""le maître de discours"" de grec (anax) ""le maître, le lord(seigneur)"" et (agoreuo) ""pour pérorer""."
anca;f;romanian;0;
anchjo;m;esperanto;0;
andela;f;czech;0;
ander;m;basque;0;La forme basque d'Andreas (voir ANDREW).
anders;m;scandinavian;0.29;Forme scandinave de Andreas (voir ANDREW).
anderson;m;english;1.72;"D'un nom de famille signifiant ""fils d'ANDREW""."
andor;m;norwegian;0;"Du Vieux norrois nomment Arn þó Rr, tiré de l'élément Arn ""l'aigle"" combiné avec le nom de Dieu nordique Þó Rr (voir THOR)."
andra;f;english;0;
andras;m;welsh;0;La forme hongroise d'Andreas (voir ANDREW).
andraste;f;celtic mythology;0;
andrea;m, f;italian, english, german, czech, slovak, hungarian, scandinavian;0;Courageux, viril (grec).
andreas;m;german, greek, scandinavian, ancient greek;0.25;Courageux, viril (grec).
andreea;f;romanian;0;
andrei;m;russian, bulgarian, romanian;0.16;Courageux, viril (grec).
andreia;f;portuguese;0;
andrej;m;slovene, czech, croatian;0;Courageux, viril (grec).
andreja;f;slovene;0;
andreu;m;catalan;0.03;Forme catalane d'ANDREW.
andrew;m;english, biblical;0.57;Courageux, viril (grec).
andriana;f;english;0;
andries;m;dutch;0;Forme hollandaise d'ANDREW.
andrija;m;croatian, serbian;0;Forme croate et serbe d'ANDREW.
andrina;f;english;0;
andris;m;hungarian;0;Forme lettonne et diminutif hongrois d'ANDREW.
andriy;m;ukrainian;0;Forme ukrainienne de ANDREW.
andro;m;croatian;0.03;Forme croate d'ANDREW.
androcles;m;ancient greek (latinized);0;"La forme Latinisée des grecs (Androkles) qui a signifié ""la gloire d'un homme"", provenu (d'andros) ""d'un homme"" et ""la gloire"" (kleos)."
andromache;f;greek mythology;0;
andromeda;f;greek mythology;0;
andronikos;m;ancient greek;0;"signifie ""victoire d'un homme"" de grec (andros) ""d'un homme"" et ""victoire"" (nike)."
andrzej;m;polish;0.03;Forme polonaise de ANDREW.
andy;m;english;0.10;Courageux, viril (grec).
ane;f;danish;0.19;
aneirin;m;welsh;0;Nom gallois, à l'origine orthographié Neirin, ce qui signifie peut-être «noble».
anelie;f;german;0;
anemone;f;english;0;Nom de fleur (grec).
aneurin;m;welsh;0;Forme d'ANEIRIN.
anfisa;f;russian;0;
angel;m,f;english;6.63;Messager (latin).
angelia;f;english;0;
angelica;f;english, italian, romanian;0.38;Messagère (grec).
angelika;f;german;0;Messagère (grec).
angelina;f;english, italian;0.06;Messagère (grec).
angeline;f;french;0.03;Messagère (grec).
angelique;f;french;0.03;Messagère (grec).
angelita;f;spanish;0;"Prénom dérivé d'Angèle. Vient du grec ""agellos"", signifie ""messager"" Se fête le 27 janvier"
angelle;f;english;0;
angelo;m;italian;3.57;Messager (latin).
angelos;m;greek;0.10;La forme grecque d'Angélus (voir l'ANGE).
angerona;f;roman mythology;0;
angharad;f;welsh;0;
angie;f;english;0.06;Messagère (grec).
angus;m;scottish, irish, english;1.05;Celui qui est choisit (celte).
angyalka;f;hungarian;0;
ania;f;russian, polish;0.03;Grâce (hébreu).
anibal;m;spanish, portuguese;0;A la grâce de Baal. Baal est un dieu phénicien.
anica;f;slovene;0;"Forme slave de Anne. Vient de l' hébreu ""hannah"" Signifie ""gracieux"" Se fête le 26 juillet."
anicetus;m;ancient greek (latinized);0;"Forme Latinisée du nom grec (Aniketos), signifiant ""invincible""."
aniela;f;polish;0.76;
anika;f;;0;gracieuse (Annick).
aniketos;m;greek, ancient greek;0;Forme grecque d'ANICETUS.
anima;f;indian, english;0;
aniruddha;m;indian;0;"signifie ""dégagé, ingouvernable"" en Sanscrit."
anisa;f;arabic;0;
anise;f;english;0;"Prénom dérivé d'Agnès. Vient du grec ""Agné"" Signifie : ""Pur"" Se fête le 21 janvier."
anisim;m;russian;0;Forme russe d'Onésime.
anita;f;spanish;8.35;Grâce (hébreu).
anja;f;scandinavian;0.10;
anjali;f;indian;0.03;
anjelica;f;english (modern);0;
anka;f;polish;0;
anke;f;german, dutch;0;
ankur;m;indian;0;"signifie ""le jeune arbre, la pousse, tirent"" en Sanscrit."
ann;f;english;0.38;Grâce (hébreu).
anna;f;english, italian, german, dutch, scandinavian, greek, hungarian, polish, russian, czech, bulgarian, icelandic;14.94;Grâce (hébreu).
annabel;f;english;0.06;"Prénom dérivé de Anne. Vient de l'hébreu ""hannah"" Signifie ""gracieux"" Se fête le 26 juillet."
annabella;f;english, italian;0.35;Grâce (hébreu).
annabelle;f;english;0;Grâce (hébreu).
annalisa;f;english;0;
annas;m;biblical;0;Forme contractée d'ANANIAS.
anne;f;french, english, german, scandinavian;45.59;Grâce (hébreu).
anneka;f;english;0;
anneke;f;dutch;0;
anneli;f;finnish;0;
annelie;f;german, scandinavian;0;
anneliese;f;german;0.03;
annelise;f;danish;0;"Anne, vient de l'hébreu ""hannanh"", signifie : ""gracieux"" Lise, vient de l'hébreu ""Elisabeth"", signifie : ""Dieu, salut, maison"" Se fête 26 juillet ou le 17 novembre. "
annemarie;f;dutch, german;0;
annetta;f;english, italian;0;
annette;f;french;1.37;Grâce (hébreu).
annice;f;english;0;
annick;f;breton;0.22;Grâce (hébreu).
annie;f;english;9.17;Grâce (hébreu).
anniina;f;finnish;0;
annika;f;dutch, swedish, finnish;0;
annikki;f;finnish;0;
annis;f;english;0;
annmarie;f;english;0;
annunciata;f;italian;0;"Vient du latin ""annuciare"", signifie: ""faire savoir"""
annunziata;f;italian;0.03;"Vient du latin ""annuciare"", signifie: ""faire savoir"""
annuska;f;hungarian;0;
anona;f;english;0;
anouk;f;dutch;0.06;Grâce (hébreu).
anoush;f;armenian;0;
anouska;f;russian;0;
ansel;m;;0.03;D'un nom de famille qui a été tiré du nom donné ANSELM.
anselm;m;english;0;"Tiré des éléments Germaniques ans ""Dieu"" et gouvernail ""casque, protection""."
anselma;f;german, dutch, italian, spanish;0;
anselme;m;french;1.08;Protection divine (germanique).
anselmo;m;italian, spanish, portuguese;0;Protection divine (germanique).
ansgar;m;german, scandinavian;0;"Tiré des éléments Germaniques ans ""Dieu"" et ""lance"" gar."
anshel;m;jewish;0;Diminutif yiddish d'Aser.
anson;m;english;0.03;"D'un nom de famille signifiant ""fils d'AGNES""."
antal;m;hungarian;0.10;La forme hongroise d'Antonius (voir ANTHONY).
antanas;m;lithuanian;0.03;La forme lithuanienne d'Antonius (voir ANTHONY).
ante;m;croatian;1.15;Forme croate d'ANTHONY.
antero;m;finnish;0;Forme finlandaise d'ANDREW.
anthea;f;greek mythology (latinized);0;Fleuri (grec).
anthony;m;english;0.80;Inestimable (latin). Fleur (grec).
antigone;f;greek mythology;0.86;Devant, contre (grec).
antigonus;m;ancient greek (latinized);0;"Du grec (Antigonos) qui a signifié ""contre l'ancêtre"", (d'anti-) ""contre"" et ""l'ancêtre"" (goneus)."
antiope;f;greek mythology;0.10;
antipater;m;ancient greek (anglicized);0;"Du nom grec (Antipatros), qui a signifié ""comme le père"" du grec (anti-) ""comme"" et (le pater)(paternel)) ""le père""."
antje;f;german, dutch;0;
anto;m;croatian;0.06;Forme croate d'ANTHONY.
antoine;m;french;46.70;Inestimable (latin). Fleur (grec).
antoinette;f;french;9.37;Inestimable (latin). Fleur (grec).
anton;m;german, russian, scandinavian, bulgarian, slovene, romanian;5.16;Inestimable (latin). Fleur (grec).
antonella;f;italian;0.03;Inestimable (latin). Fleur (grec).
antonello;m;italian;0.03;Inestimable (latin). Fleur (grec).
antonette;f;english;0;
antoni;m;polish, catalan;0.10;Forme polonais et catalan de Antonius (voir ANTHONY).
antonia;f;english, italian, spanish, portuguese, german, scandinavian, dutch, ancient roman;0.10;Inestimable (latin). Fleur (grec).
antonie;f;czech;0;
antonietta;f;spanish, italian;0;"Variante féminine d'Antoinette. Vient du grec ""anthonomos"" Signifie ""qui se nourrit de fleur "" Se fête le 28 février"
antonija;f;croatian, slovene;0;
antonina;f;polish, russian;0;"Forme italienne et féminine d'Antoine. Vient du grec ""anthonomos"" Signifie ""qui se nourrit de fleur "" Se fête le 28 février"
antonino;m;italian;0;La forme italienne du nom romain Antoninus, qui a été tiré d'Antonius (voit ANTHONY).
antonio;m;spanish, italian, portuguese;1.69;Inestimable (latin). Fleur (grec).
antonius;m;ancient roman, dutch;0.03;Inestimable (latin). Fleur (grec).
antono;m;esperanto;0;Forme d'espéranto d'ANTHONY.
antony;m;english;0.51;Inestimable (latin). Fleur (grec).
antti;m;finnish;0;Forme finlandaise d'ANDREW.
antun;m;croatian;0;Forme croate d'ANTHONY.
antwan;m;english (modern);0;Variante d'Antoine, en usage depuis les années 1960.
anubis;m;egyptian mythology (hellenized);0.10;
anupam;m;indian;0;"signifie ""incomparable, incomparable"" en Sanscrit."
anushka;f;russian;0;
anwar;m;arabic;0.03;"signifie ""plus brillants"" en arabe."
anwen;f;welsh;0;
anwer;m;arabic;0;La transcription Variante du ANWAR.
anya;f;russian;0;
aodh;m;irish, scottish;0;"Du vieux nom irlandais áed, qui a signifié ""le feu""."
aoide;f;greek mythology;0;
aoife;f;irish, irish mythology;0;
aonghas;m;scottish, irish;0;Variante écossaise de Aonghus.
aonghus;m;scottish, irish, irish mythology;0;"Peut-être ce qui signifie «une force» provient de l'irlandais Oen ""un"" et gus ""force, puissance, énergie»."
aphra;f;;0;
aphrodisia;f;ancient greek;0;
aphrodisios;m;ancient greek;0;Le nom d'annonce personnelle de grec ancien qui a été tiré du nom de la déesse grecque APHRODITE.
aphrodite;f;greek mythology;0.80;
apikalia;f;hawaiian;0;
apolinar;m;spanish;0;Forme espagnole de APOLLINARIS.
apollinaire;m;french;4.14;Qui vient d'Appolonia (grec).
apollinaris;m;ancient greek;0;Nom de grec ancien tiré du nom de Dieu APOLLON.
apollinariya;f;russian;0;
apolline;f;french;0.22;Qui vient d'Appolonia (grec).
apollo;m;greek mythology (latinized);0.16;Se rapporte à Apollon, Dieu grec de la lumière (mythologie grecque).
apollodoros;m;ancient greek;0;"signifie ""le cadeau d'Apollon"" du nom de Dieu APOLLON se sont combinés avec ""le cadeau"" (doron) grec."
apollonia;f;ancient greek;0.03;
apollonios;m;ancient greek;0;D'un nom d'annonce personnelle de grec ancien qui a été tiré du nom de Dieu grec APOLLON.
apolonija;f;slovene;0;
apostolis;m;greek;0;Variante du APOSTOLOS.
apostolos;m;greek;0;"signifie ""messager, apôtre"" en grec."
apphia;f;biblical;0;
appius;m;ancient roman;0.06;Ce fut une praenomen romain, ou le nom donné, utilisé principalement par le clan Claudia.
april;f;english;0;Qui bourgeonne (latin).
aquila;m;biblical, ancient roman;0.29;
arabella;f;english, italian;0.06;"Dérivé de Anne et d'Annabelle. Vient de l'hébreu ""hannah"" Signifie ""gracieux"" Se fête le 26 juillet."
araceli;f;spanish;0;
aracelis;f;;0;
aracely;f;;0;
arachne;f;greek mythology;0;
aragorn;m;literature;0;"La signification d'inconnu, quoique le premier élément soit vraisemblablement Sindarin ara ""noble, royal""."
araminta;f;;0;
aran;f;;0.03;
aranka;f;hungarian;0;
aranrhod;f;welsh, welsh mythology;0;
arantxa;f;basque;0;Epine (basque).
aras;m;lithuanian;0.06;"Signifie ""l'aigle"" en Lithuanien."
arata;m;japanese;0;"signifie ""frais, nouveau"" en japonais."
aravinda;m;indian;0;La transcription Variante du Aravind.
arcadia;f;late roman;0.03;
arcangelo;m;italian;0;"Signifie ""l'archange"" en italien."
arcelia;f;spanish;0;
archelaus;m;ancient greek (latinized), biblical;0;"La forme Latinisée du nom grec (l'ArchéLaos), qui a signifié ""le maître des gens(du peuple)"" ""du maître"" (archos) et (le Laos) ""les gens""(""le peuple"")."
archibald;m;scottish, english;6.72;Audacieux (germanique).
archie;m;scottish, english;0.54;Diminutif d'ARCHIBALD.
archimedes;m;ancient greek;0;"signifie ""le maître de pensée"" de l'élément grec (archos) ""le maître"" se sont combinés avec (medomai) ""pour penser, être attentifs de""."
archippos;m;ancient greek;0;"signifie ""maître de chevaux"" des éléments grecs (archos) ""maître"" et ' (hippopotames) ""cheval""."
ardal;m;irish;0;Forme Anglicisée d'ARDGHAL.
ardashir;m;iranian;0;De la Moyenne forme persane d'Artakhshathra (voir ARTAXERXES).
arden;m;english;0.19;
ardghal;m;irish;0;"signifie ""haut courage"", tiré des éléments irlandais ard ""haut"" et jeune fille ""courage""."
arduino;m;italian;0;Forme italienne de HARTWIN.
areli;m;biblical;0;"signifie ""lion de Dieu"" en Hébreu."
ares;m;greek mythology;1.56;"Peut-être soit de grec (sont) ""fléau, ruine» ou (Arsen) ""mâle""."
aretha;f;english;0.03;
arethusa;f;greek mythology;0;
arevig;f;armenian;0;
argus;m;greek mythology (latinized);0.61;"Du grec (Argos), tiré (d'argos) signification ""scintillement, brillant""."
argyris;m;greek;0;Forme grecque moderne d'ARGYROS.
argyros;m;ancient greek;0;"Signifie ""l'argent"" en grec."
ari;m;jewish, ancient scandinavian;0;"Signifie ""le lion"" en l'Hébreu."
aria;f;english;0.45;
ariadne;f;greek mythology, english;0.06;
ariana;f;english;0.06;"Vient du grec ""ariadnê"" Signifie : ""chanter"" Se fête le 18 septembre."
ariane;f;english, french;2.45;Sacré (grec).
arianna;f;italian;0;"Vient du grec ""ariadnê"" Signifie : ""chanter"" Se fête le 18 septembre."
arianne;f;french;0;"Vient du grec ""ariadnê"" Signifie : ""chanter"" Se fête le 18 septembre."
arianrhod;f;welsh, welsh mythology;0;
aric;m;english;0;Variante du ERIC.
ariel;m,f;biblical, jewish;0.61;Lion de Dieu (hébreu).
ariella;f;english;0;
arielle;f;english;0.03;Lionne de Dieu (hébreu).
arienne;f;french;0;
aries;m;roman mythology;0;"signifie ""enfoncent"" en latin."
arik;m;;0;Diminutif d'ARIEL.
arina;f;russian;0;
arisha;f;russian;0;
arista;f;astronomy;0;
aristide;m;french;0.80;Le meilleur (grec).
aristides;m;ancient greek;0;Le meilleur (grec).
aristocles;m;ancient greek (latinized);0;"La forme Latinisée du nom grec (Aristokles) qui a signifié ""la meilleure gloire"", provenu (d'aristos) ""le mieux"" et ""la gloire"" (kleos)."
aristodemos;m;ancient greek, greek mythology;0;"Tiré des éléments grecs (aristos) ""le mieux"" et (démonstrations) ""les gens(le peuple)""."
aristomache;f;ancient greek;0;
ariston;m;ancient greek;0.13;"Tiré de grec (aristos) signification ""le meilleur""."
aristophanes;m;ancient greek;0;"Tiré des éléments grecs (aristos) ""le mieux"" et (phanes) ""apparition""."
aristotle;m;ancient greek (latinized);0;"Du nom grec (Aristoteles) qui a signifié ""le meilleur but"", provenu (d'aristos) ""le mieux"" et (telos) ""le but, le but""."
arisu;f;japanese;0;
arisztid;m;hungarian;0;Forme hongroise d'ARISTIDES.
arjan;m;dutch;0;Forme hollandaise d'ADRIAN.
arjun;m;indian;0;"Blanc ou ""Paon"", célèbre personnage du Mahâbhârata."
arjuna;m;indian;0.03;"Blanc ou ""Paon"", célèbre personnage du Mahâbhârata."
arkadi;m;russian;0.03;Variante du transcription Arkadiy.
arkadios;m;ancient greek;0;"D'un nom de grec ancien signifiant ""d'Arcadia""."
arkady;m;russian;0;Variante du transcription Arkadiy.
arkell;m;english;0;
arleen;f;english;0;
arlen;m;;0.03;Signification d'inconnu, probablement d'un nom de famille.
arlene;f;english;0;"Diminutif de Charlène et Charlotte. Vient du germain karl"" Signifie : ""fort, vigoureux"" Se fête le 17 juillet."
arlette;f;french, english;0.80;Promesse (irlandais).
arlie;f,m;english;0;
arline;f;english;0;"Diminutif de Charlène et Charlotte. Vient du germain karl"", signifie : ""fort, vigoureux"" Se fête le 17 juillet."
armand;m;french;30.71;Fort, armé (germanique).
armando;m;spanish, italian, portuguese;0;Fort, armé (germanique).
armel;m;french;0.03;Prince, ours (celte).
armelle;f;french;0;Prince, ours (celte).
armin;m;german;0.06;Forme moderne d'ARMINIUS.
armo;m;finnish;0;"signifie ""grâce, pitié"" en finlandais."
arn;m;english;4.78;Forme abrégée d'Arnold.
arnaldo;m;italian;0;Aigle, gouverneur (germanique).
arnau;m;catalan;0;Forme catalane d'ARNOLD.
arnaud;m;french;9.24;Aigle, gouverneur (germanique).
arnaude;f;french;0.67;"Vient du germain ""arn et ald"" Signifie ""aigle et ancien"" Se fête le 10 février."
arndt;m;german;0.03;Forme courte allemande d'ARNOLD.
arne;m;scandinavian, german;0;Aigle, gouverneur (germanique).
arnie;m;english;0;Diminutif d'ARNOLD.
arnold;m;english, german;1.24;Aigle, gouverneur (germanique).
aroha;f;maori;0;
aroldo;m;italian;0;Forme italienne d'HAROLD.
aron;m;polish;0.96;Esprit (hébreu).
arrigo;m;italian;0.10;Forme italienne d'HENRY.
arron;m;english;0;Variante du AARON.
arsen;m;armenian;0.03;Forme arménienne d'ARSENIOS.
arseni;m;russian;0;Variante du transcription Arseniy.
arsenios;m;ancient greek;0.03;"signifie ""virils"" en grec."
art;m;english;176.78;Forme abrégée d'ARTHUR.
artair;m;scottish;0;Forme écossaise du ARTHUR.
artemidoros;m;ancient greek;0;"signifie ""le cadeau d'Artemis"" du nom de la déesse ARTEMIS se sont combinés avec ""le cadeau"" (doron) grec."
artemis;f;greek mythology;0;"Vient du grec ""artémis"" Nom d'une divinité. Se fête le 25 janvier."
